-1*v1+1*~(v0|v1)+1*(v0&v1),1*~v1-1*(v0^v1)
-6*~(v1|~v2)-2*(v2^~(~v0&(~v1|v2)))-2*~(~v0&(v1&v2))+4*~(~v0&(v1|v2))+3*(~v0|(v1&v2))+2*(v2^~(v0&v1))+3*(~v0|(v1|v2))+2*(v2&(v0|~v1))-5*(v2|(v0&v1))+4*~(v0&v2)+1*(v0^(v1|v2))+2*(v0|(~v1&v2))+1*((v0^v1)&~(v0^v2))+1*(v0|~v1)+5*~(v0&(v1&v2))+2*(v2^~(v0&(~v1&v2)))-2*(v1^~(v0&(v1&v2)))+1*(v1^~(v0&~v2))+7*(v2^(v0|(v1&v2)))-3*~(~v0&(v1^v2))-1*~(v0&~v2)-1*~(v0&(v1|v2))-7*((v0&v1)|~(v1|~v2))-2*(~(v0&v1)&~(v1^v2))+7*(v1^(v0&v2))-7*(v0|~v2)+1*((v0^v1)|~(v0^v2))+4*(v2^(v0|(v1|v2)))-3*(v1|(v0&v2))-6*(~v1|(v0^v2))+7*(~v0&(~v1|v2))-3*((v0&v2)|~(v1|v2))+1*(v1^(~v0|(v1&v2)))-1*(v1^~(~v0&(~v1|v2)))+11*~(v1&v2)-3*((v0|~v1)&(v0^(v1^v2)))+11*~(v0|(~v1&v2))-2*(v2^~(v0&(~v1|v2)))+11*(~(v0|~v1)|(v1^v2))+1*(v1^v2)+4*(v1^(v0|(~v1&v2)))+7*(~v0&(v1|v2))-2*(~(v0|v1)|~(v1^v2))+1*((v0&~v1)|~(v0^(v1^v2)))+2*(v2^(~v0|(v1|v2)))-11*(~(v0^v1)&~(v0^v2))+1*(v2^~(v0&(v1&v2)))+4*(v0&(~v1|v2))-11*(v0^v2)-7*(v1^(v0&~v2))+7*(v2&~(v0^v1))+11*(v1^(~v0&(v1|v2)))-1*(v1^(~v0&(v1^v2)))-5*((v0|v1)&(v1^v2))+1*((v0&v1)|~(v1^v2))+7*(v2|(v0^v1))+2*(v2^(v0&~v1))+1*(v0&(v1^v2))-11*(v1^(v0&(v1|v2)))-3*~(v0^(v1^v2))+1*(v1^~(v0|(v1^v2)))+5*~(v0&(~v1|v2))-7*(v1^(~v0|(~v1|v2)))-15*~(v0|(v1|v2))-53*~(v0|(~v1|v2))+6*~(~v0|(v1|v2))-23*~(~v0|(~v1|v2))-47*(~v0&(~v1&v2))-21*(~v0&(v1&v2))+5*(v0&(~v1&v2))+18*(v0&(v1&v2)),11*~(~v0|(v1^v2))
1*(v1^(~v0|(~v1&v2)))+1*(v2^~(v0|v1))+7*((v0|v1)&(v0^(v1^v2)))+1*~(v0^(v1&v2))-7*(v0|~v1)-1*(~(v0&~v1)&(v0^(v1^v2)))+2*((v0&v1)^(v0^(v1&v2)))-5*(v0^(~v1&v2))-1*(v1^(~v0|(v1|v2)))+3*~(v0&~v0)+4*(~(v0&~v1)&~(v1^v2))+4*(v0^(v1&v2))-6*((v0^v1)&(v0^v2))-2*(~(v0&v1)&~(v0^(v1^v2)))-5*((v0&v1)^(v1|~v2))-3*((v0|v1)&(v1^v2))+2*(v1^~(v0|(v1^v2)))-2*~(v0^(~v1&v2))-1*((v0&v1)|~(v1|~v2))+4*((v0&v2)^~(v1&~v2))+2*(v1&~(v0&~v2))-5*(v2^~(v0&v1))+3*~(v1|~v2)+5*(~v0&(v1|v2))+2*(v2^(v0&(~v1|v2)))-2*~(v0|v2)+1*(~v1|(v0^v2))-1*(v1&(v0|~v2))-3*((v0&v1)|(v1^v2))+4*(v1|~(v0^v2))-1*(v2^~(~v0|(v1&v2)))-6*~(v1&v2)-1*v1-3*((v0&v1)^~(v0^(~v1|v2)))-1*(v1^(v0&(v1|v2)))+5*(~(v0|v1)|(v1^v2))-3*(v2^~(v0|(~v1&v2)))-2*(v1^(~v0|(v1&v2)))+1*(v2^~(~v0&(v1&v2)))-5*(v2^(v0|(v1&v2)))-1*((v0&v2)^(v0^(v1&v2)))+1*(v1|(v0&v2))-1*~(v0&(~v1&v2))+1*((v0&v2)^~(v0^(~v1&v2)))-7*(v0|~v2)-2*(v1^~(~v0|(~v1&v2)))+1*~(v0&v1)-11*(~(v0|~v1)|(v1^v2))-1*~(~v0&(~v1|v2))+2*(~(v0^v1)|(v0^v2))+4*(v1^~(v0&(v1|v2)))-7*(v1&~(v0^v2))-7*(v1|v2)+3*((v1&~v2)|~(v0|(~v1&v2)))+11*(v2^(~v0|(~v1|v2)))-7*((v1&~v2)^(~v0|(v1^v2)))-1*(v1^~(~v0&(~v1|v2)))+1*(~(v0^v1)&~(v0^v2))+1*v0+11*((v0|~v1)&~(v1^v2))-3*((v0&v2)^(v0^(~v1&v2)))+1*(v1&(v0|v2))+11*((v0&v1)^~(v0^(v1&v2)))-17*~(v0|(v1|v2))+14*~(v0|(~v1|v2))+10*~(~v0|(v1|v2))+30*~(~v0|(~v1|v2))+21*(~v0&(~v1&v2))+11*(~v0&(v1&v2))+47*(v0&(~v1&v2))+8*(v0&(v1&v2)),5*~(~v0&(v1^v2))
-1*~(v0^(v1|v2))+1*(~v0&(~v1|v2))-1*(v2^(~v0|(~v1|v2)))-1*(v2^(v0|(v1|v2)))-7*((v1&~v2)^(v0|(v1^v2)))-1*((v0&v2)|~(v1|v2))-7*~v1+5*(v2|(v0^v1))-1*(v2^(~v0|(~v1&v2)))+4*(v2^(v0&(v1|v2)))-1*(v0&(~v1|v2))-11*(v0&v2)+1*((v0&v1)|(v0^(v1^v2)))+1*(~(v0|v1)|~(v0^(v1^v2)))-2*(v0&v1)+2*((v0&v1)^(v1|v2))+11*(~(v0&v1)&~(v1^v2))-2*~(~v0&(v1&v2))-1*(v1^(v0&(v1^v2)))-2*(v1^~(~v0&(v1&v2)))+11*(v2|~(v0|v1))+2*(~v0&(v1|v2))+1*(v1^(~v0&(v1^v2)))+2*(v2|~(v0|~v1))-6*(v1&v2)+2*(v2^~(v0&~v1))-1*(v2^(~v0&(v1|v2)))+3*~(v0^(v1^v2))-11*(v2^~(v0|(~v1&v2)))-3*~(v0^(~v1|v2))+7*(v2^(v0&~v1))+1*~(v0|(v1&v2))-1*(v1&~(v0&v2))-1*(v2^~(v0|v1))+2*(v0&~v2)-1*~(~v0&(v1^v2))+11*(v1^~(v0|~v2))-2*(v1^(v0&(~v1|v2)))+5*(~(v0^v1)|(v0^v2))-1*(v1^(v0|~v2))+4*(~(v0&~v1)&~(v0^(v1^v2)))+1*(v1^(v0|(~v1&v2)))-6*~(v0&~v1)-2*v0+4*~(v1|v2)-1*((v1&~v2)^(~v0|(v1^v2)))-1*(v2|(v0&v1))+3*(v1&~(v0&~v2))+2*((v0&v1)^(v0^(v1&v2)))-1*(v1^~(v0|(v1^v2)))+7*(v0|v2)+3*((v0&v1)^(v0^(~v1|v2)))+4*~(~v0&(~v1&v2))-11*((v0^v1)|(v0^v2))+3*(v0&~v1)-3*(v1^(~v0|(v1&v2)))-1*((v0|~v1)&(v0^(v1^v2)))-6*(v1|(v0&v2))+2*((v0&v1)|~(v1|v2))-1*(v1&(v0^v2))-1*~(~v0|(v1^v2))-1*(v2&~(v0^v1))-1*~(v0|(~v1&v2))+4*(v0|(v1&v2))-11*~(v0|(v1|v2))+4*~(v0|(~v1|v2))-14*~(~v0|(v1|v2))-23*(~v0&(~v1&v2))-41*(~v0&(v1&v2))+16*(v0&(~v1&v2))-10*(v0&(v1&v2)),10*~(~v0|(~v1|v2))-11*(v2^~(v0|~v1))
1*(v1&~(v0&~v2))+5*(~v0&(~v1|v2))+11*((v0&v1)|~(v0^(v1^v2)))+7*(v0&v2)+1*(v1^(v0&(v1|v2)))+1*(v2&(v0|~v1))-1*(~v0|(~v1|v2))+2*(v1&(v0^v2))+5*(~(v0^v1)&~(v0^v2))-1*(v0^(v1&v2))+4*(v1^v2)-7*(v1|v2)-1*(v0|~v2)-1*(v2^~(~v0&(~v1|v2)))-6*(v2^~(~v0&(v1&v2)))-1*(~(v0&~v1)&(v0^(v1^v2)))+2*~(~v0|(v1&v2))-1*(v1^~(~v0&(~v1|v2)))-7*(v2^(~v0&(~v1|v2)))-1*(v2^(~v0|(v1&v2)))-1*(v2^~(v0|(v1&v2)))-1*(~v1&(v0^v2))-6*(v1&(v0|v2))-11*(v1^(~v0|(v1&v2)))+7*((v0^v1)|~(v0^v2))+1*(~v0|(~v1&v2))-1*~(v1|v2)+11*(v2^(~v0|(~v1&v2)))+2*~(v0^(v1&v2))+4*((v1&~v2)|~(v0|(~v1&v2)))-1*(~(v0|v1)|~(v1^v2))-11*~(v1&v2)+1*((v0&v1)^~(v0^(v1&v2)))+1*(v1^~(~v0|(v1&v2)))-3*(v1^~(v0|(~v1&v2)))+4*(v0|v1)-1*(v0|(v1&v2))-1*((v1&~v2)^(~v0|(v1^v2)))-2*~(v0|(v1^v2))-2*(v1^(~v0&(~v1|v2)))+2*(v1^(v0|(~v1&v2)))-1*(v0&(v1|v2))+5*(v1^(~v0|(v1|v2)))+11*(v1^(~v0|(~v1&v2)))+3*(v0&(~v1|v2))-11*(v2^~(v0&(v1&v2)))-6*(~v0|(v1&v2))+1*(v1^~(v0&(v1^v2)))-3*((v0&v1)^(v1|~v2))+2*(v1|~(v0^v2))+1*((v1&~v2)^(v0|(v1^v2)))+1*~(v1^v2)-7*((v0&v1)^(v0^(~v1|v2)))-1*~(v0&(v1^v2))-2*((v0^v1)&(v0^v2))+5*~(~v0&(v1^v2))+1*(~(v0|~v1)|(v1^v2))-11*~(v0&v1)+7*((v0|v1)&(v0^(v1^v2)))-6*(v0&~v2)-11*(v1&~(v0&v2))+3*(~(v0^v1)|~(v0^v2))-2*(v1&(v0|~v2))-3*(v2^(v0|(~v1&v2)))+8*~(v0|(v1|v2))+29*~(~v0|(v1|v2))+33*~(~v0|(~v1|v2))+19*(~v0&(~v1&v2))+25*(~v0&(v1&v2))-27*(v0&(~v1&v2))-24*(v0&(v1&v2)),-25*~(v0|(~v1|v2))-5*~(v0|v1)
1*((v0&v2)^~(v1&~v2))+4*((v0&v1)^(v0^(v1&v2)))+4*(v2&~(v0&v1))-2*(v1^~(v0&(v1|v2)))-1*(v1^(~v0&(v1|v2)))-2*(v1^~(v0|(v1^v2)))+11*~(~v0&(v1^v2))+1*(v0^v2)-1*(v1|~(v0|~v2))+7*((v0&~v1)|(v1^v2))-7*~v2-2*((v1&~v2)^(v0|(v1^v2)))+1*(v0&(v1|v2))+1*(v0|(~v1|v2))+11*(~(v0^v1)|~(v0^v2))-1*~(v0&(v1|v2))+5*(v1^~(~v0&(~v1|v2)))-5*((v0&~v1)|(v0^(v1^v2)))-7*(v2^(v0|(~v1|v2)))-6*~(v0^(~v1&v2))+11*(~v0|(~v1|v2))-5*(v1^(v0|(v1^v2)))-3*(v1^~(v0&(v1^v2)))-5*(v2^~(v0&v1))+5*((v1&~v2)^(~v0|(v1^v2)))-7*(~v0|(v1&v2))-1*((v1&v2)^~(~v0&(v1^v2)))+11*((v0^v1)|(v0^v2))+11*(v1^~(~v0&(~v1&v2)))-3*(v2^~(~v0|(v1&v2)))+3*~(v1&~v2)-7*(v2^(~v0&(v1|v2)))-1*(~(v0|~v1)|~(v0^(v1^v2)))-1*(v2^~(~v0&(~v1&v2)))-11*(v0|(v1&v2))+1*~(v0&v1)+5*(v1&(v0|v2))+1*(v1^(v0|(v1&v2)))+4*(v1&(v0|~v2))-1*((v0&v1)^(v1|v2))-6*~(v0^(v1^v2))+3*(v0&v2)+7*(~(v0&~v1)&(v0^(v1^v2)))+3*~(~v0|(~v1&v2))-11*(~(v0&v1)&~(v1^v2))+4*~(v0^(~v1|v2))+1*((v0^v1)&(v0^v2))+7*(~(v0&v1)&(v1^v2))+2*(v2^~(v0&(v1|v2)))+11*(~v0|(v1^v2))-3*(v2&(v0|~v1))-1*(v2^(v0&v1))+1*(v1^(v0&(v1^v2)))-2*(v2^~(v0|v1))+5*(v0|(v1^v2))-6*~(v0&v2)-1*(v1^~(~v0&(v1^v2)))+1*~(~v0&(v1&v2))-3*(v2^(v0|(~v1&v2)))-1*((v1&~v2)|~(~v0|(~v1&v2)))+3*((v0|~v1)&(v1^v2))-5*(v2^(v0&~v1))-6*(v1|~(v0^v2))+6*~(v0|(v1|v2))-31*~(v0|(~v1|v2))-4*~(~v0|(v1|v2))-17*~(~v0|(~v1|v2))-48*(~v0&(~v1&v2))-5*(~v0&(v1&v2))-66*(v0&(~v1&v2))-14*(v0&(v1&v2)),-5*((v0&v2)^(v1|v2))
1*(~(v0|~v1)|(v0^(v1^v2)))-7*(~(v0&~v1)&~(v0^(v1^v2)))+5*(v0^(v1&v2))+1*~(v0|v2)+7*((v0&v1)^(v1|~v2))+5*(~v0|(~v1|v2))+1*((v0&~v1)|(v0^(v1^v2)))+1*((v0|~v1)&(v0^(v1^v2)))+2*~(v0&~v2)-1*~(~v0|(v1&v2))-1*((v1&v2)|(~v0&(v1|v2)))+4*((v0|~v1)&(v1^v2))-1*(~(v0|~v1)|(v1^v2))-5*((v1&v2)^~(v0&(v1^v2)))+2*(v2&(v0^v1))-2*((v0&~v1)|~(v0^(v1^v2)))+1*(~v0&(~v1|v2))+3*(v1^(v0&v2))-3*(~v1&(v0^v2))+1*(v2^~(v0&(~v1&v2)))-11*(v0&~v2)-1*((v1&~v2)|~(v0|(~v1&v2)))+11*~(~v0&(v1|v2))-6*~(~v0|(~v1&v2))-1*(v1&~(v0^v2))-2*~(v0|(v1&v2))+1*(v1^(~v0&(v1^v2)))+1*~(v0^(~v1|v2))-7*(v2^~(v0&(v1|v2)))+2*~(v0&v1)-5*(v0^(v1|v2))-5*(v1^~(v0|v2))-6*(v2^~(~v0|(v1&v2)))-7*((v0&v1)|~(v0^(v1^v2)))-3*(v2|(v0&v1))+1*(v2^(v0&v1))-2*(v2^~(v0|(v1&v2)))-1*(v0|~v1)+2*(v1^(v0|(v1&v2)))+2*(v2&~(v0&v1))-11*((v0&v2)^~(v0^(~v1&v2)))-6*(v1^~(~v0&(v1&v2)))+1*((v1&v2)|(v0&(v1|v2)))-1*~(v0^(v1|v2))-5*(~(v0|~v1)|~(v1^v2))+7*(v0&(v1^v2))+4*((v1&~v2)^(v0|(v1^v2)))-6*(v1|(v0^v2))+4*(~v2|(v0^v1))-1*~(v0&(v1&v2))+1*(v2^(~v0|(v1|v2)))-1*~(v0^v1)+1*((v1&~v2)|~(~v0|(~v1&v2)))-3*~(~v0&(v1&v2))+3*(v1^~(v0&(v1^v2)))+11*((v0&v1)^(v0^(~v1|v2)))-5*(~(v0^v1)&(v0^v2))+11*(v1&~(v0&~v2))-1*(v0^v1)+3*(v2^~(v0&v1))-2*(~(v0|v1)|~(v1^v2))+1*(~v1|~(v0^v2))-1*(v1|(v0&v2))+16*~(v0|(v1|v2))+11*~(v0|(~v1|v2))+18*~(~v0|(v1|v2))+26*~(~v0|(~v1|v2))+16*(~v0&(~v1&v2))+19*(~v0&(v1&v2))-17*(v0&(~v1&v2))+19*(v0&(v1&v2)),5*(v2|~(v0|~v1))
1*(v2&(v0|v1))+2*((v1&v2)^~(v0&(v1^v2)))+5*(v0^(~v1|v2))-1*(v1^~(v0|(v1^v2)))-1*(v2&(v0|~v1))-11*(v1^(v0&(v1^v2)))+4*(v1^~(v0&(~v1&v2)))-2*(v2^(v0&v1))-7*(v2^~(v0&v1))-1*(v1^(~v0&(~v1|v2)))+7*(v0|(v1^v2))-3*(~v2&~(v0^v1))-3*(v1^~(v0&(v1^v2)))+2*(v0&(v1^v2))-5*((v0|v1)&~(v1^v2))-1*(~(v0|~v1)|~(v0^(v1^v2)))-1*(v2^(~v0|(~v1|v2)))+2*(v2^~(v0|(v1&v2)))-1*(v1^(v0|(~v1|v2)))-1*~(v0^(v1&v2))-5*(v0^v2)+3*(v2&~(v0&v1))-6*(~(v0|v1)|~(v1^v2))+1*~(v0^(~v1|v2))+1*(v1^~(~v0|(v1&v2)))+1*(~v0&(~v1|v2))-11*((v0&v1)|(v0^(v1^v2)))-2*(v1^~(v0&(~v1|v2)))-1*(v1^(v0&(~v1|v2)))-6*(~(v0^v1)|~(v0^v2))-11*(v2^(~v0|(~v1&v2)))+1*~(v0^v1)-1*((v0&v1)^(v0^(~v1|v2)))-2*(v2^~(v0&(v1|v2)))+4*((v0|v1)&(v0^(v1^v2)))-2*(v2^~(~v0&(v1&v2)))+1*(v1^~(v0&(v1&v2)))+11*~v1+1*~(v0|~v2)+4*((v0&v2)|~(v1|v2))-3*(~v1&~(v0^v2))+1*(~v2|~(v0^v1))-1*((v0&~v1)|~(v1^v2))-7*((v0&v2)^~(v0^(v1&v2)))-1*((v0&v1)|~(v1^v2))+7*((v0^v1)&~(v0^v2))+1*(v1^~(v0&(v1|v2)))+1*(v1^~(v0|(~v1&v2)))-1*(v0^(v1|v2))-6*(v1|(v0&~v2))-11*((v0|v1)&(v1^v2))+1*(v1&~(v0&v2))-1*((v0&~v1)|(v0^(v1^v2)))+5*(~(v0|~v1)|~(v1^v2))+5*((v1&v2)|(v0&(v1|v2)))+1*(v0^(v1&v2))+3*((v0&v2)|(v1&~v2))+11*(~v2&(v0^v1))+5*((v0&v2)^(v1|v2))+4*(v1|v2)+11*(v1^(v0&v2))+3*(v1|~(v0|~v2))-6*(v2^~(v0&~v1))+3*(~v0|(v1&v2))+21*~(v0|(v1|v2))+3*~(v0|(~v1|v2))-11*~(~v0|(v1|v2))-2*~(~v0|(~v1|v2))-4*(~v0&(~v1&v2))-13*(~v0&(v1&v2))-10*(v0&(~v1&v2))+23*(v0&(v1&v2)),-4*((v0&v2)^~(v0^(~v1&v2)))-11*(v2^(v0|(v1|v2)))
1*(~(v0|~v1)|(v1^v2))+7*(v2^~(v0&(v1&v2)))+1*(v1^~(v0&(~v1|v2)))-1*~v0+3*~(v0|(~v1&v2))-2*(v1&~v2)+7*(v0|(v1|v2))+3*((v0&v2)^(v1|v2))+1*((v0^v1)|~(v0^v2))+2*(v1^~(~v0&(v1&v2)))-2*~(v0&~v2)+1*~(v0|v2)-1*~(v0&~v0)-1*(v1^(~v0|(v1|v2)))+2*(v0&v2)+1*v1+3*((v0&v1)^(v1|~v2))-2*(v1^(v0|~v2))+5*((v1&v2)|(v0&(v1|v2)))+11*((v1&~v2)^(~v0|(v1^v2)))-11*((v0&~v1)|(v1^v2))+11*((v0&v2)|~(v1|v2))+4*~(v0&v1)-6*~(~v0|(v1^v2))+5*(v1&v2)-5*~(v1&~v2)+2*((v0&v1)|~(v1|v2))-2*((v0&v1)^(v1|v2))-7*(v1^~(v0|v2))+4*(v2^(v0|(~v1|v2)))+2*(~v2|(v0^v1))-1*~(v1&v2)-7*((v0&v2)|(v1&~v2))-2*v2+5*((v1&~v2)|~(~v0|(~v1&v2)))+2*~v1-1*(~v2&~(v0^v1))-2*((v0^v1)|(v0^v2))+3*(v1^~(v0&(~v1&v2)))-11*(v1^~(v0&(v1&v2)))-6*(~(v0|v1)|(v0^(v1^v2)))-1*(v1^(~v0|(v1^v2)))+5*(v2^~(v0|(~v1&v2)))-1*(v2^~(v0|~v1))-2*(v1^~(~v0&(v1|v2)))-5*~(v0^(~v1&v2))-1*(v0^v2)+1*(~(v0|~v1)|(v0^(v1^v2)))-1*((v0^v1)&(v0^v2))-1*(v1^v2)-3*~(v0&~v1)+1*((v1&~v2)|~(v0|(~v1&v2)))+5*(v1|~(v0^v2))+1*(~(v0|~v1)|~(v0^(v1^v2)))+1*((v0|v1)&(v1^v2))+2*(v1&(v0|v2))+1*((v0&v1)|(v0^(v1^v2)))+1*(v1^(v0&v2))-1*~(~v0&(~v1|v2))+1*~(v0|v1)+2*((v0&~v1)|~(v0^(v1^v2)))-3*((v0|v1)&(v0^(v1^v2)))-5*(v1|~(v0|v2))-1*((v0&v2)^~(v0^(~v1&v2)))+1*(v1|~v2)+2*(v0^(v1&v2))-25*~(v0|(v1|v2))+2*~(v0|(~v1|v2))-18*~(~v0|(~v1|v2))+10*(~v0&(~v1&v2))-15*(~v0&(v1&v2))+7*(v0&(v1&v2)),7*(v1^~(~v0|(v1&v2)))-7*(v2^(~v0|(v1|v2)))
3*((v0&v2)^(v1|v2))+1*(~(v0&v1)&~(v1^v2))-3*~(v0&(v1&v2))+2*~(~v0&(v1&v2))-5*(v0|(v1^v2))+7*(v2&~(v0&~v1))-6*(v1^(v0&~v2))-2*(~(v0^v1)|~(v0^v2))+2*(v1^(v0|(~v1&v2)))+2*((v0&v2)^(v0^(~v1&v2)))-1*(~v0&(v1^v2))-5*(v2^(v0|(v1&v2)))-6*((v0&v2)|(v1&~v2))+11*((v0&v1)|~(v1|v2))-7*((v0&v2)^~(v0^(v1&v2)))+2*(v0^(~v1&v2))+4*((v0&v2)^~(v0^(~v1&v2)))-6*(v0^(~v1|v2))+4*((v0|~v1)&(v0^(v1^v2)))+11*((v0&v1)^(v0^(~v1|v2)))+1*((v1&v2)|(~v0&(v1|v2)))-5*~(~v0|(v1&v2))-1*(v1&(v0^v2))-7*(v2^~(v0&(v1&v2)))+7*(v1^(v0|v2))+5*(v1^~(v0&(v1|v2)))+1*((v0&v1)^~(v0^(v1&v2)))+3*(~v1|(v0^v2))-1*(v1^(~v0&(v1|v2)))-11*(v0|(v1&v2))-6*(~(v0&v1)&~(v0^(v1^v2)))+2*~(v1|~v2)+3*~(v0|v2)-1*(v2|(v0&v1))+1*((v1&~v2)|~(~v0|(~v1&v2)))-3*~(~v0&(~v1|v2))+4*(v2^(v0|(~v1&v2)))+1*(~(v0|~v1)|(v1^v2))-1*(v2^~(~v0|(~v1&v2)))+1*(v2^(v0&(v1|v2)))+1*(v1^~(~v0&(v1&v2)))+4*((v0&~v1)|(v0^(v1^v2)))+5*((v0&v1)^~(v0^(~v1|v2)))+5*(v2&(v0^v1))-7*((v0|~v1)&~(v1^v2))-3*(~v0|(~v1&v2))-1*(v0&(v1^v2))-6*(v1^(v0|(v1^v2)))+1*((v1&~v2)^(~v0|(v1^v2)))-2*(v1|v2)-2*(v2|~(v0|~v1))+11*(v1^~(v0&(v1&v2)))-1*(~v1|~(v0^v2))+1*(v2^(~v0&(~v1|v2)))+5*~(v0^v1)+1*(v0|~v1)+4*(~(v0&~v1)&~(v1^v2))-1*((v0|v1)&~(v1^v2))-5*~(~v0|(v1^v2))-1*((v0^v1)&~(v0^v2))-2*(v2^(v0|(v1|v2)))+2*(v2^~(v0|v1))+2*~(~v0&(v1^v2))+11*(v0^(v1|v2))-27*~(v0|(v1|v2))+8*~(v0|(~v1|v2))-9*~(~v0|(v1|v2))+15*~(~v0|(~v1|v2))-42*(~v0&(~v1&v2))-13*(~v0&(v1&v2))+16*(v0&(~v1&v2))-16*(v0&(v1&v2)),2*(v0|v1)
-1*(v2^(v0|~v1))+2*(~(v0^v1)|~(v0^v2))+5*(~v2&(v0^v1))+7*(~(v0&~v1)&~(v0^(v1^v2)))-1*(v2^~(v0|(v1&v2)))-7*(v2^(v0|(~v1&v2)))-7*((v0^v1)|~(v0^v2))-5*((v0^v1)&~(v0^v2))-7*(v1^(v0&(v1^v2)))-1*~(v1&v2)+11*(v0|(~v1&v2))+2*((v1&~v2)|~(~v0|(~v1&v2)))-5*(v1^(v0|(v1|v2)))-3*((v0&v2)|~(v1|v2))-11*(v1^(~v0|(v1&v2)))-1*(v2^(v0&(~v1|v2)))+4*(v1^~(v0|(v1&v2)))+1*(~(v0|~v1)|(v1^v2))-2*~(v0&(~v1|v2))+1*(v1^~(~v0|(v1&v2)))+5*(v1^(v0&(v1|v2)))+7*~(v0^(~v1&v2))-1*(v2&~(v0&v1))-7*(v1^(v0|(~v1&v2)))-1*((v0&v1)^(v1|v2))-1*~(v0^(~v1|v2))+1*(v0^(v1^v2))-1*((v0&v1)^(v1|~v2))+3*(v0|~v2)+2*(v0&v1)-1*(v0|~v1)+5*(v2&~(v0^v1))+3*(v2^(v0|(~v1|v2)))-1*((v0|v1)&~(v1^v2))+1*(v0^(v1|v2))+1*(v2^(~v0&(v1|v2)))-1*(v2^(v0|(v1|v2)))-6*((v0|~v1)&~(v0^(v1^v2)))+1*(~v2&~(v0^v1))-3*~(~v0|(v1^v2))+3*((v0|v1)&(v0^(v1^v2)))-3*(~v0|(~v1|v2))-1*(v2^~(v0&~v1))+1*((v0&v1)|(v1^v2))-3*(v1^~(v0&v2))+3*(v2|(v0&v1))+4*~(v0&~v1)+3*(v2^(v0&v1))-1*(v2&(v0^v1))+7*((v1&~v2)^(~v0|(v1^v2)))+4*~(v0^v2)-2*~(~v0&(v1|v2))+1*(v1^(v0|(v1&v2)))+2*(v0&(v1^v2))-11*((v0&v2)|(v1&~v2))-2*(v2^(~v0|(~v1&v2)))+1*(~v0&(v1|v2))+7*(v1^~(v0&(v1^v2)))+1*(v1^v2)+4*(~(v0|v1)|(v1^v2))+1*(~v2|~(v0^v1))+5*~(v1|v2)+1*(v1&(v0|v2))+5*(~v0|(v1&v2))-21*~(v0|(v1|v2))-5*~(v0|(~v1|v2))+4*~(~v0|(v1|v2))-19*~(~v0|(~v1|v2))-26*(~v0&(~v1&v2))-11*(~v0&(v1&v2))+7*(v0&(~v1&v2))-9*(v0&(v1&v2)),-2*~(v0|(~v1&v2))
-1*(v1^(v0|~v2))+11*((v0&v2)|(v1&~v2))+3*(~v0&(v1|v2))-6*(v2^~(v0|(v1&v2)))-7*(v0^v1)-3*((v0&v2)^~(v1&~v2))+2*((v0|~v1)&(v1^v2))+1*~(v0|(v1&v2))-2*((v0&v1)|~(v1|~v2))+4*(v2|(v0^v1))+7*(~v0&(~v1|v2))-3*(~v1&~(v0^v2))+1*(v1^(~v0&(v1^v2)))-1*(~(v0&~v1)&(v1^v2))-6*(v0^(v1|v2))-7*(v1^(v0|(v1&v2)))+1*~v0-5*(v1^(v0|(v1^v2)))-3*~(v1|~v2)-1*((v0&v2)^(v0^(v1&v2)))-11*~(~v0&(~v1&v2))+5*(v2^~(v0&~v1))+1*(v2^~(v0&(~v1&v2)))-2*((v0|~v1)&~(v0^(v1^v2)))-3*(v2&(v0|v1))+11*(~(v0^v1)&(v0^v2))-2*(v1^(v0&v2))-1*(~(v0&~v1)&~(v1^v2))+1*((v1&~v2)^(v0|(v1^v2)))-11*((v0&v1)|(v0^(v1^v2)))+11*(v2^~(~v0&(~v1&v2)))-1*(~(v0|~v1)|~(v1^v2))+2*((v0&v1)|(v1^v2))+7*(v0^v2)-5*(v2^~(~v0|(v1&v2)))-7*(v0^(v1^v2))-1*(v1^(v0|(~v1&v2)))-2*(v1^~(~v0|(v1^v2)))+1*((v0|v1)&~(v0^(v1^v2)))-5*((v0|v1)&~(v1^v2))+4*(v1^(v0|(v1|v2)))-6*(v0|~v2)-11*~(~v0&(v1&v2))+7*(v0|(~v1|v2))-3*(~(v0|~v1)|(v0^(v1^v2)))+2*~(v0|(~v1&v2))-2*((v1&~v2)|~(~v0|(~v1&v2)))+7*((v0&~v1)|(v1^v2))-1*(v2^(v0|(~v1&v2)))-1*(~(v0&~v1)&~(v0^(v1^v2)))+3*v2-1*(v1&(v0^v2))-3*((v0&~v1)|(v0^(v1^v2)))-11*v0-2*(v2^(~v0|(v1&v2)))-1*(v0&v1)+4*(~v1&(v0^v2))+5*((v0&v2)^(v1|v2))-7*(v1^~(v0&(~v1&v2)))+1*(v1^~(v0|(~v1&v2)))-2*((v0&v2)|~(v1|v2))-2*((v0^v1)|~(v0^v2))+1*((v0&v2)^~(v0^(~v1&v2)))+1*(v1^(~v0&(~v1|v2)))+1*((v0|v1)&(v0^(v1^v2)))+21*~(v0|(v1|v2))+35*~(v0|(~v1|v2))-2*~(~v0|(~v1|v2))-15*(~v0&(~v1&v2))+25*(~v0&(v1&v2))+42*(v0&(~v1&v2))+61*(v0&(v1&v2)),-74*~(~v0|(v1|v2))-1*~(v0|~v2)
